"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 23-Jul-2024"
"NIFTY 50","25,243.30","25,246.25","25,018.70","25,219.90","25,062.10","-","-157.80","-0.63","33,87,28,860","27,433.14","26,277.35","21,743.65","0.99","3.03"
"ETERNAL","302.25","314.45","302.00","302.05","312.45","-","10.40","3.44","12,06,03,751","3,752.22","314.45","194.80","18.62","-"
"DRREDDY","1,261.10","1,287.90","1,256.10","1,247.40","1,268.90","-","21.50","1.72","38,09,212","485.74","1,421.49","1,020.00","-5.35","-81.83"
"TATAMOTORS","692.70","706.50","692.30","690.10","701.30","-","11.20","1.62","1,51,97,664","1,067.06","1,179.00","535.75","2.81","-31.11"
"TATACONSUM","1,084.00","1,104.50","1,065.50","1,062.60","1,073.00","-","10.40","0.98","62,64,546","676.08","1,250.10","882.90","-4.22","-15.46"
"CIPLA","1,470.50","1,490.00","1,470.30","1,473.50","1,486.30","-","12.80","0.87","13,89,152","205.83","1,702.05","1,335.00","-1.71","-1.63"
"GRASIM","2,709.10","2,743.30","2,667.30","2,709.10","2,729.20","-","20.10","0.74","9,97,645","270.85","2,896.00","2,276.95","-0.54","-4.04"
"JIOFIN","315.00","319.40","313.45","314.45","316.50","-","2.05","0.65","1,13,48,072","359.98","363.00","198.65","7.27","-6.11"
"EICHERMOT","5,440.00","5,502.00","5,434.00","5,441.50","5,472.50","-","31.00","0.57","2,84,450","155.57","5,906.50","4,508.75","-2.00","10.61"
"SUNPHARMA","1,682.50","1,696.00","1,680.10","1,682.50","1,692.00","-","9.50","0.56","10,79,045","182.38","1,960.35","1,553.05","1.20","5.05"
"TATASTEEL","163.00","164.75","162.81","162.77","163.60","-","0.83","0.51","1,43,77,270","235.34","170.18","122.62","6.78","1.72"
"HINDALCO","697.00","704.40","691.60","695.40","698.40","-","3.00","0.43","45,93,102","320.17","772.65","546.45","5.14","6.41"
"SBILIFE","1,808.00","1,822.50","1,778.70","1,809.50","1,817.00","-","7.50","0.41","9,28,018","166.26","1,936.00","1,372.55","-0.50","13.46"
"WIPRO","262.00","263.40","260.25","261.40","262.20","-","0.80","0.31","81,39,900","213.00","324.60","228.00","-0.70","-47.78"
