"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2025","25,442.10","26,179.35","26,219.40","25,413.55","9.09B","-2.67%"
"01-06-2025","26,139.50","25,277.05","26,265.15","25,070.25","12.45B","3.14%"
"01-05-2025","25,344.25","24,822.45","25,677.55","24,303.55","14.39B","2.01%"
"01-04-2025","24,843.80","23,902.30","25,016.50","22,177.35","12.70B","3.27%"
"01-03-2025","24,057.35","22,551.65","24,409.75","22,324.05","13.66B","7.02%"
"01-02-2025","22,479.45","24,092.10","24,382.50","22,452.15","12.53B","-6.54%"
"01-01-2025","24,053.45","24,493.35","25,060.90","23,277.85","14.63B","-1.80%"
"01-12-2024","24,495.55","25,063.55","25,784.40","24,300.75","12.55B","-2.23%"
"01-11-2024","25,053.95","25,171.00","25,443.30","24,014.25","12.91B","-0.02%"
"01-10-2024","25,059.50","26,879.95","26,994.15","24,897.20","14.43B","-6.81%"
"01-09-2024","26,890.15","26,383.45","27,335.65","25,786.30","14.11B","2.34%"
"01-08-2024","26,274.35","26,101.10","26,309.05","24,871.55","14.37B","0.96%"
"01-07-2024","26,025.60","25,004.00","26,054.30","24,895.55","17.73B","4.07%"
"01-06-2024","25,007.25","24,444.70","25,165.80","22,003.75","19.34B","6.33%"
"01-05-2024","23,518.05","23,422.90","24,106.85","22,630.85","17.62B","0.35%"
"01-04-2024","23,436.50","23,065.15","23,618.70","22,469.05","14.29B","2.25%"
"01-03-2024","22,920.70","22,605.70","23,090.20","22,140.20","12.85B","1.75%"
"01-02-2024","22,526.30","22,123.45","22,804.80","21,934.80","15.75B","2.15%"
"01-01-2024","22,051.55","21,928.70","22,367.30","21,391.80","14.58B","0.61%"
"01-12-2023","21,918.80","20,274.60","21,951.90","20,263.10","13.67B","8.50%"
"01-11-2023","20,201.00","19,028.85","20,226.40","18,926.05","10.22B","6.12%"
"01-10-2023","19,035.35","19,569.90","19,792.75","18,743.30","9.51B","-2.77%"
"01-09-2023","19,577.05","19,212.90","20,136.30","19,210.15","11.00B","1.94%"
"01-08-2023","19,204.80","19,712.85","19,722.10","19,153.70","12.24B","-2.41%"
"01-07-2023","19,679.35","19,159.95","19,822.95","19,148.55","10.56B","3.04%"
"01-06-2023","19,099.55","18,482.85","19,110.50","18,383.80","9.86B","3.59%"
"01-05-2023","18,438.30","17,964.35","18,546.90","17,895.35","11.35B","2.98%"
"01-04-2023","17,903.95","17,256.20","17,926.05","17,141.45","7.90B","4.18%"
"01-03-2023","17,186.15","17,134.90","17,586.05","16,696.25","10.81B","0.60%"
"01-02-2023","17,083.80","17,744.85","17,907.00","17,039.60","11.67B","-2.94%"
"01-01-2023","17,601.00","18,290.20","18,398.95","17,331.90","10.61B","-3.60%"
"01-12-2022","18,258.75","19,034.20","19,039.40","17,834.10","9.65B","-3.49%"
"01-11-2022","18,919.55","18,354.90","18,980.75","18,198.00","11.60B","3.71%"
"01-10-2022","18,243.40","17,448.70","18,256.65","17,137.30","8.73B","4.62%"
"01-09-2022","17,438.60","17,858.45","18,505.20","17,080.65","14.60B","-3.72%"
"01-08-2022","18,112.40","17,487.65","18,304.70","17,396.00","14.60B","4.09%"
"01-07-2022","17,400.75","15,861.60","17,413.85","15,679.30","11.60B","9.24%"
"01-06-2022","15,929.40","16,772.05","16,953.65","15,336.05","10.66B","-5.00%"
"01-05-2022","16,767.50","17,286.65","17,483.80","15,941.10","12.42B","-3.95%"
"01-04-2022","17,457.20","17,643.90","18,327.75","17,199.50","10.09B","-1.15%"
"01-03-2022","17,660.35","16,826.25","17,752.55","15,901.10","16.46B","3.78%"
"01-02-2022","17,016.55","17,731.55","18,012.25","16,384.45","13.31B","-3.03%"
"01-01-2022","17,547.40","17,654.45","18,595.15","17,030.45","12.42B","-0.41%"
"01-12-2021","17,618.80","17,381.40","17,941.35","16,653.60","12.89B","2.02%"
"01-11-2021","17,270.25","17,996.55","18,498.70","17,060.70","12.64B","-3.41%"
"01-10-2021","17,880.80","17,768.00","18,870.70","17,686.60","18.13B","0.20%"
"01-09-2021","17,845.10","17,432.65","18,204.05","17,321.70","15.43B","2.72%"
"01-08-2021","17,373.10","16,151.80","17,394.60","16,112.80","12.08B","8.31%"
"01-07-2021","16,040.15","15,992.20","16,200.30","15,781.90","11.54B","0.51%"
"01-06-2021","15,959.40","15,848.00","16,167.60","15,665.25","17.72B","1.02%"
"01-05-2021","15,798.70","14,645.60","15,822.35","14,583.35","19.69B","6.82%"
"01-04-2021","14,790.60","14,912.25","15,178.85","14,329.60","15.23B","-0.11%"
"01-03-2021","14,807.45","14,834.50","15,438.50","14,393.50","17.79B","0.95%"
"01-02-2021","14,667.60","13,866.05","15,513.50","13,762.20","24.64B","6.73%"
"01-01-2021","13,743.30","14,109.05","14,860.85","13,704.15","20.14B","-2.47%"
"01-12-2020","14,090.75","13,180.20","14,127.60","13,088.05","19.29B","7.72%"
"01-11-2020","13,080.30","11,803.05","13,244.80","11,675.25","18.17B","11.33%"
"01-10-2020","11,748.95","11,499.65","12,092.05","11,484.25","15.56B","3.19%"
"01-09-2020","11,385.20","11,570.15","11,743.85","10,906.70","17.43B","-0.96%"
"01-08-2020","11,496.05","11,208.55","11,927.20","11,046.95","19.44B","2.43%"
"01-07-2020","11,222.95","10,511.90","11,428.15","10,482.35","19.54B","7.02%"
"01-06-2020","10,486.90","9,900.70","10,753.60","9,719.65","46.76B","7.45%"
"01-05-2020","9,759.45","9,682.65","9,777.10","8,988.95","28.86B","-2.47%"
"01-04-2020","10,006.90","8,722.10","10,031.95","8,213.25","24.94B","14.61%"
"01-03-2020","8,731.15","11,500.85","11,560.15","7,624.85","39.61B","-22.84%"
"01-02-2020","11,316.30","12,066.05","12,369.40","11,288.40","24.31B","-6.38%"
"01-01-2020","12,086.90","12,299.85","12,544.40","12,026.80","21.81B","-1.47%"
"01-12-2019","12,267.75","12,255.40","12,387.30","11,918.95","23.68B","0.70%"
"01-11-2019","12,182.60","12,049.25","12,286.60","11,935.85","30.00B","1.21%"
"01-10-2019","12,037.25","11,655.50","12,099.10","11,200.95","25.47B","3.65%"
"01-09-2019","11,613.30","11,092.10","11,837.65","10,812.70","18.87B","4.11%"
"01-08-2019","11,155.10","11,164.05","11,296.60","10,730.90","18.55B","-0.59%"
"01-07-2019","11,221.20","11,932.85","12,081.70","11,089.20","15.78B","-5.56%"
"01-06-2019","11,882.10","12,061.15","12,204.05","11,686.95","10.84B","-1.22%"
"01-05-2019","12,028.25","11,851.45","12,136.65","11,201.20","15.77B","1.30%"
"01-04-2019","11,874.25","11,834.85","12,013.70","11,706.80","11.25B","0.72%"
"01-03-2019","11,789.20","11,009.70","11,794.85","10,998.00","11.75B","7.57%"
"01-02-2019","10,959.90","11,018.70","11,272.20","10,713.30","11.17B","-0.34%"
"01-01-2019","10,996.80","11,130.55","11,188.50","10,763.15","10.78B","-1.02%"
"01-12-2018","11,110.15","11,146.80","11,239.65","10,532.65","10.00B","0.16%"
"01-11-2018","11,092.25","10,660.50","11,130.00","10,567.45","10.41B","4.60%"
"01-10-2018","10,604.60","11,123.95","11,224.10","10,186.00","12.16B","-4.69%"
"01-09-2018","11,126.40","12,075.80","12,075.80","11,039.35","10.68B","-7.30%"
"01-08-2018","12,003.10","11,640.90","12,056.85","11,524.65","9.93B","3.17%"
"01-07-2018","11,633.85","11,013.10","11,643.10","10,874.95","10.01B","5.83%"
"01-06-2018","10,993.45","11,068.30","11,226.00","10,827.15","8.40B","-0.64%"
"01-05-2018","11,064.15","11,191.60","11,248.95","10,734.70","9.49B","-0.73%"
"01-04-2018","11,145.90","10,521.45","11,163.15","10,497.20","7.98B","6.37%"
"01-03-2018","10,478.40","10,850.70","10,899.60","10,301.95","8.30B","-3.53%"
"01-02-2018","10,861.40","11,414.30","11,483.00","10,610.75","9.01B","-4.67%"
"01-01-2018","11,393.55","10,990.45","11,552.80","10,854.45","8.58B","3.72%"
"01-12-2017","10,985.15","10,690.10","11,002.55","10,449.95","6.43B","3.14%"
"01-11-2017","10,650.75","10,799.75","10,918.05","10,487.20","8.93B","-0.84%"
"01-10-2017","10,740.85","10,252.90","10,786.20","10,194.70","7.76B","5.88%"
"01-09-2017","10,143.90","10,310.50","10,566.95","10,020.55","6.76B","-1.39%"
"01-08-2017","10,286.55","10,442.65","10,472.15","10,007.95","6.83B","-1.26%"
"01-07-2017","10,417.80","9,898.90","10,447.15","9,857.50","6.24B","5.92%"
"01-06-2017","9,835.40","9,895.90","10,020.35","9,752.75","5.87B","-0.75%"
"01-05-2017","9,909.60","9,687.90","9,938.20","9,608.00","7.96B","2.66%"
"01-04-2017","9,652.45","9,509.40","9,718.35","9,408.40","5.56B","1.96%"
"01-03-2017","9,467.10","9,197.65","9,498.90","9,123.55","7.34B","3.23%"
"01-02-2017","9,170.95","8,837.30","9,262.90","8,803.75","6.68B","3.92%"
"01-01-2017","8,825.00","8,409.60","8,943.45","8,337.20","6.41B","5.28%"
"01-12-2016","8,382.50","8,486.60","8,517.70","8,069.85","5.02B","-0.99%"
"01-11-2016","8,466.40","8,928.25","8,949.75","8,112.10","7.40B","-4.88%"
"01-10-2016","8,900.55","8,900.00","9,067.15","8,769.05","4.91B","0.64%"
"01-09-2016","8,844.20","9,009.30","9,188.15","8,762.55","6.57B","-1.74%"
"01-08-2016","9,000.50","8,859.25","9,037.30","8,701.90","6.75B","1.83%"
"01-07-2016","8,839.00","8,442.80","8,874.50","8,437.10","6.29B","5.02%"
"01-06-2016","8,416.20","8,275.05","8,430.15","8,025.15","6.90B","1.96%"
"01-05-2016","8,254.80","7,939.90","8,305.45","7,803.05","7.11B","3.66%"
"01-04-2016","7,963.65","7,812.35","8,098.55","7,633.45","5.66B","1.68%"
"01-03-2016","7,832.15","7,132.05","7,859.15","7,132.05","6.69B","10.56%"
"01-02-2016","7,083.95","7,688.35","7,695.55","6,924.40","7.31B","-7.52%"
"01-01-2016","7,659.65","8,085.40","8,126.00","7,340.95","5.72B","-5.33%"
"01-12-2015","8,090.90","8,083.20","8,109.40","7,685.75","4.79B","0.42%"
"01-11-2015","8,057.20","8,169.55","8,234.10","7,835.65","4.56B","-1.45%"
"01-10-2015","8,175.85","8,115.10","8,424.25","8,059.15","4.89B","1.34%"
"01-09-2015","8,068.00","8,052.60","8,173.05","7,657.60","5.11B","-0.63%"
"01-08-2015","8,119.55","8,632.05","8,781.15","7,777.30","6.01B","-6.09%"
"01-07-2015","8,645.85","8,452.50","8,753.30","8,417.65","4.78B","2.43%"
"01-06-2015","8,440.95","8,480.00","8,525.30","8,006.40","4.71B","-0.69%"
"01-05-2015","8,499.85","8,288.65","8,552.65","8,028.30","5.06B","3.16%"
"01-04-2015","8,239.55","8,513.60","8,895.20","8,199.45","4.94B","-3.29%"
"01-03-2015","8,519.50","8,937.75","9,105.40","8,286.15","5.54B","-4.11%"
