DATE,quarter,REAL_GDP_INR_MILLIONS,NOMINAL_GDP_INR_MILLIONS
2010-01-01,2010-Q1,20696271.4,18148169.9
2010-04-01,2010-Q2,19091063.8,17137393.8
2010-07-01,2010-Q3,19374715.2,17557996.7
2010-10-01,2010-Q4,21337881.5,20094688.7
2011-01-01,2011-Q1,22833392.5,21692746.8
2011-04-01,2011-Q2,21028628.2,20434962.9
2011-07-01,2011-Q3,20428701.6,20294691.6
2011-10-01,2011-Q4,22251352.3,22448522.3
2012-01-01,2012-Q1,23654614.0,24185111.3
2012-04-01,2012-Q2,22052234.4,23132030.9
2012-07-01,2012-Q3,21959458.8,23569532.8
2012-10-01,2012-Q4,23447672.1,25483778.3
2013-01-01,2013-Q1,24670818.7,27254789.1
2013-04-01,2013-Q2,23473963.7,25653744.4
2013-07-01,2013-Q3,23570788.7,26862032.3
2013-10-01,2013-Q4,24979973.4,29210700.4
2014-01-01,2014-Q1,25988975.6,30608741.4
2014-04-01,2014-Q2,25357505.9,29143932.2
2014-07-01,2014-Q3,25622415.8,30539820.3
2014-10-01,2014-Q4,26459471.3,31849170.6
2015-01-01,2015-Q1,27837332.3,33146668.1
2015-04-01,2015-Q2,27282785.8,32435433.6
2015-07-01,2015-Q3,27680871.0,33558844.2
2015-10-01,2015-Q4,28363873.9,34766324.7
2016-01-01,2016-Q1,30367379.1,36958136.3
2016-04-01,2016-Q2,29650877.8,36397746.1
2016-07-01,2016-Q3,30357558.3,37541170.3
2016-10-01,2016-Q4,30796216.1,38750067.0
2017-01-01,2017-Q1,32277283.1,41227706.8
2017-04-01,2017-Q2,31463362.8,40089159.6
2017-07-01,2017-Q3,31971954.9,41572463.5
2017-10-01,2017-Q4,32849916.6,43391935.2
2018-01-01,2018-Q1,35160583.5,45846860.0
2018-04-01,2018-Q2,33823008.3,45693691.1
2018-07-01,2018-Q3,34036441.9,46560170.1
2018-10-01,2018-Q4,34897608.9,48729983.4
2019-01-01,2019-Q1,37172100.4,48012839.9
2019-04-01,2019-Q2,35546415.1,49513783.5
2019-07-01,2019-Q3,35499454.5,48681370.4
2019-10-01,2019-Q4,36033750.5,51353446.4
2020-01-01,2020-Q1,38266786.4,51487328.2
2020-04-01,2020-Q2,27323061.6,38939425.8
2020-07-01,2020-Q3,33426564.1,47282812.8
2020-10-01,2020-Q4,36673379.2,54741713.7
2021-01-01,2021-Q1,39525684.4,57577007.7
2021-04-01,2021-Q2,33507301.3,51781700.7
2021-07-01,2021-Q3,36724381.4,56273145.3
2021-10-01,2021-Q4,38701077.8,62683231.7
2022-01-01,2022-Q1,41285702.1,65235907.6
2022-04-01,2022-Q2,38027690.7,64998625.9
2022-07-01,2022-Q3,38912507.3,64580246.6
2022-10-01,2022-Q4,40575777.8,68275054.3
2023-01-01,2023-Q1,44133158.0,71050799.0
2023-04-01,2023-Q2,41701144.4,72116277.4
2023-07-01,2023-Q3,42548057.9,72406971.2
2023-10-01,2023-Q4,44436382.4,77096653.7
2024-01-01,2024-Q1,47820324.7,79609657.0
2024-04-01,2024-Q2,44416639.5,79078942.1
2024-07-01,2024-Q3,44935865.6,78403450.8
2024-10-01,2024-Q4,47265418.3,85023719.3
2025-01-01,2025-Q1,51351631.1,88175341.5
