model,fold,start,end,rmse,mae,r2
gbr,1,2017-12-31,2019-12-31,0.1081675670365961,0.09933627450430298,-5.586250364685106
gbr,2,2020-03-31,2022-03-31,0.07539213465446257,0.06264633741922337,-2.4602561694236886
gbr,3,2022-06-30,2024-06-30,0.0736907234081996,0.06060816827579547,-1.5122336445435147
lasso,1,2017-12-31,2019-12-31,0.11823038241116289,0.11024067970939834,-6.868687562254529
lasso,2,2020-03-31,2022-03-31,0.05302349539297027,0.0417990803759313,-0.7115629581686562
lasso,3,2022-06-30,2024-06-30,0.061952998301071295,0.04668183386084308,-0.775656872742035
rf,1,2017-12-31,2019-12-31,0.10264663952422425,0.09419883466822716,-4.93107730374556
rf,2,2020-03-31,2022-03-31,0.06394962846395835,0.05026303131785545,-1.4896151763472392
rf,3,2022-06-30,2024-06-30,0.06280428706959294,0.051067868894187546,-0.8247903167945376
ridge,1,2017-12-31,2019-12-31,0.23648848066513767,0.21439969676565485,-30.482129066012444
ridge,2,2020-03-31,2022-03-31,0.05416487152045399,0.04560082040687244,-0.7860417478330932
ridge,3,2022-06-30,2024-06-30,0.07314220874100007,0.05533040285993448,-1.474973365406541
