quarter_end,excess_ret,cpi_yoy,gdp_yoy,repo,repo_chg_bps,rain_anom,year,quarter,quarter_label
2014-03-31,0.0035626981978698,8.244297738053634,5.922736090663738,8.0,25.0,69.87910189982726,2014,1,2014-Q1
2014-06-30,0.1531612207077828,7.859486107068089,7.112079862047338,8.0,0.0,69.87910189982726,2014,2,2014-Q2
2014-09-30,-0.017474184879598,6.681568327827914,7.592544422911884,8.0,0.0,-7.449625791594709,2014,3,2014-Q3
2014-12-31,0.0621642493156624,4.054537529024286,8.033806086309792,8.0,0.0,-7.449625791594709,2014,4,2014-Q4
2015-03-31,0.0080206948667855,5.272440245677228,7.197432550362404,7.5,-50.0,-7.449625791594709,2015,1,2015-Q1
2015-06-30,0.0150731321176628,5.0908092179592055,9.088682682427862,7.25,-25.0,-7.449625791594709,2015,2,2015-Q2
2015-09-30,0.0482072271104764,3.9483042408415088,8.679802778791013,6.75,-50.0,-6.171560161197469,2015,3,2015-Q3
2015-12-31,0.0320663418668031,5.339794541213791,9.66980880045285,6.75,0.0,-6.171560161197469,2015,4,2015-Q4
2016-03-31,-0.0219097570148112,5.259608548379628,8.575493631707353,6.75,0.0,-6.171560161197469,2016,1,2016-Q1
2016-06-30,0.0124320769414874,5.665679801665672,6.289327747747575,6.5,-25.0,-6.171560161197469,2016,2,2016-Q2
2016-09-30,0.0765400753608547,5.1673343334687205,6.112753262232262,6.5,0.0,55.198618307426585,2016,3,2016-Q3
2016-12-31,-0.019484458404305,3.748832287455439,5.31793955247053,6.25,-25.0,55.198618307426585,2016,4,2016-Q4
2017-03-31,0.0775958759826858,3.56891502972263,6.668678039312748,6.25,0.0,55.198618307426585,2017,1,2017-Q1
2017-06-30,-0.0068714198250172,2.2075945422937484,8.932909226179575,6.25,0.0,55.198618307426585,2017,2,2017-Q2
2017-09-30,-0.006785711719909,2.976498830584166,7.499660843627298,6.0,-25.0,-2.60218767990789,2017,3,2017-Q3
2017-12-31,0.0912713907522857,4.556545747545604,6.457181008972346,6.0,0.0,-2.60218767990789,2017,4,2017-Q4
2018-03-31,-0.0728532873224648,4.59478342971585,6.233477926090059,6.0,0.0,-2.60218767990789,2018,1,2018-Q1
2018-06-30,-0.0900773363333808,4.790508503950093,5.720942884807356,6.25,25.0,-2.60218767990789,2018,2,2018-Q2
2018-09-30,-0.0766578328913732,3.854621114070023,5.0953681727949895,6.5,25.0,-7.714450201496834,2018,3,2018-Q3
2018-12-31,0.0482509038346342,2.6063839211870685,4.298371152596903,6.5,0.0,-7.714450201496834,2018,4,2018-Q4
2019-03-31,-0.0486634616231882,2.4651225915393336,3.2556431108379025,6.25,-25.0,-7.714450201496834,2019,1,2019-Q1
2019-06-30,-0.0472929807447012,3.0717695592508805,2.944912954125134,5.75,-50.0,-7.714450201496834,2019,2,2019-Q2
2019-09-30,-0.0655529353461091,3.47266683473492,-23.134128932174654,5.4,-34.999999999999964,-8.439838802533098,2019,3,2019-Q3
2019-12-31,0.0066898935837598,5.837140861480482,-5.839217613893188,5.15,-25.0,-8.439838802533098,2019,4,2019-Q4
2020-03-31,-0.0222310428191143,6.669901617923564,1.7750822246493714,4.4,-75.0,-8.439838802533098,2020,1,2020-Q1
2020-06-30,0.0581173650365476,6.573177742776333,3.289792842390349,4.0,-40.00000000000004,-8.439838802533098,2020,2,2020-Q2
2020-09-30,0.0632226881632225,6.895552248608908,22.633772856552792,4.0,0.0,10.362694300518134,2020,3,2020-Q3
2020-12-31,-0.0158398849881704,6.375940321197045,9.865857855249915,4.0,0.0,10.362694300518134,2020,4,2020-Q4
2021-03-31,0.0860656369469823,4.869867444579697,5.5290748881957175,4.0,0.0,10.362694300518134,2021,1,2021-Q1
2021-06-30,0.0681685014035098,5.593669058078173,4.45284560335153,4.0,0.0,10.362694300518134,2021,2,2021-Q2
2021-09-30,0.0059132424574457,5.078817347553977,13.490759400548937,4.0,0.0,0.7484168105929765,2021,3,2021-Q3
2021-12-31,0.0169287434243864,5.016349752533163,5.95823759743439,4.0,0.0,0.7484168105929765,2021,4,2021-Q4
2022-03-31,-0.0310349097544683,6.344005782303749,4.844051139061567,4.0,0.0,0.7484168105929765,2022,1,2022-Q1
2022-06-30,-0.0126526202275516,7.281714750617444,6.896954042595782,4.9,90.00000000000003,0.7484168105929765,2022,2,2022-Q2
2022-09-30,0.0760865232566379,7.040022124446892,9.65994419429732,5.9,100.0,6.505469199769717,2022,3,2022-Q3
2022-12-31,-0.0317234921517148,6.120733549946393,9.34288446635254,6.25,34.999999999999964,6.505469199769717,2022,4,2022-Q4
2023-03-31,-0.0055999997614507,6.208194495065059,9.51455476473948,6.5,25.0,6.505469199769717,2023,1,2023-Q1
2023-06-30,0.0850409533976972,4.6265674932592775,8.354640517680622,6.5,0.0,6.505469199769717,2023,2,2023-Q2
2023-09-30,0.1103537522789719,6.428907125563477,6.51179994954767,6.5,0.0,-5.906735751295331,2023,3,2023-Q3
2023-12-31,0.0326629103680669,5.37031126433154,5.612025126063402,6.5,0.0,-5.906735751295331,2023,4,2023-Q4
2024-03-31,0.013611381324504,5.014307005632383,6.366485630027352,6.5,0.0,-5.906735751295331,2024,1,2024-Q1
2024-06-30,0.0839445330934964,4.904469177984187,7.384530368945819,6.5,0.0,-5.906735751295331,2024,2,2024-Q2
2024-09-30,0.0042682250598247,4.244828638650573,15.613499080676728,6.5,0.0,7.564766839378244,2024,3,2024-Q3
