quarter_end,year,quarter,quarter_label,nifty_qret
2010-06-30,2010,2,2010-Q2,0.012078261035225024
2010-09-30,2010,3,2010-Q3,0.13504941176470586
2010-12-31,2010,4,2010-Q4,0.01733845222597208
2011-03-31,2011,1,2011-Q1,-0.04902600048903738
2011-06-30,2011,2,2011-Q2,-0.03194343261195631
2011-09-30,2011,3,2011-Q3,-0.12468569607252888
2011-12-31,2011,4,2011-Q4,-0.06452232842765382
2012-03-31,2012,1,2012-Q1,0.14515710485911382
2012-06-30,2012,2,2012-Q2,-0.0031441493329306125
2012-09-30,2012,3,2012-Q3,0.08039553694898571
2012-12-31,2012,4,2012-Q4,0.03538302386337744
2013-03-31,2013,1,2013-Q1,-0.03768776142656349
2013-06-30,2013,2,2013-Q2,0.028094781392156598
2013-09-30,2013,3,2013-Q3,-0.0182979014754715
2013-12-31,2013,4,2013-Q4,0.09915784701759267
2014-03-31,2014,1,2014-Q1,0.06348350253807111
2014-06-30,2014,2,2014-Q2,0.13531070075475093
2014-09-30,2014,3,2014-Q3,0.04643722861253252
2014-12-31,2014,4,2014-Q4,0.039913117717959024
2015-03-31,2015,1,2015-Q1,0.025148804133917624
2015-06-30,2015,2,2015-Q2,-0.014427040395713076
2015-09-30,2015,3,2015-Q3,-0.05014040748043258
2015-12-31,2015,4,2015-Q4,-0.000320799104278513
2016-03-31,2016,1,2016-Q1,-0.026169247516155347
2016-06-30,2016,2,2016-Q2,0.07099012715806885
2016-09-30,2016,3,2016-Q3,0.03902144731682289
2016-12-31,2016,4,2016-Q4,-0.04939526079559631
2017-03-31,2017,1,2017-Q1,0.1206907082997386
2017-06-30,2017,2,2017-Q2,0.03784166780215292
2017-09-30,2017,3,2017-Q3,0.028117089770925086
2017-12-31,2017,4,2017-Q4,0.07581268005639208
2018-03-31,2018,1,2018-Q1,-0.039598507221742185
2018-06-30,2018,2,2018-Q2,0.059384794882189285
2018-09-30,2018,3,2018-Q3,0.020173973101369258
2018-12-31,2018,4,2018-Q4,-0.006212004080344502
2019-03-31,2019,1,2019-Q1,0.07008943572181492
2019-06-30,2019,2,2019-Q2,0.014190590077340692
2019-09-30,2019,3,2019-Q3,-0.026669267994757773
2019-12-31,2019,4,2019-Q4,0.06048220176130448
2020-03-31,2020,1,2020-Q1,-0.2934391808323986
2020-06-30,2020,2,2020-Q2,0.19823209560640875
2020-09-30,2020,3,2020-Q3,0.09177255122741945
2020-12-31,2020,4,2020-Q4,0.24309294024031902
2021-03-31,2021,1,2021-Q1,0.05070538380388734
2021-06-30,2021,2,2021-Q2,0.07016684024586972
2021-09-30,2021,3,2021-Q3,0.1206405241230164
2021-12-31,2021,4,2021-Q4,-0.01499022315055798
2022-03-31,2022,1,2022-Q1,0.006378914432077831
2022-06-30,2022,2,2022-Q2,-0.09645142358178616
2022-09-30,2022,3,2022-Q3,0.0832749798007002
2022-12-31,2022,4,2022-Q4,0.05913942325973198
2023-03-31,2023,1,2023-Q1,-0.041178549927369246
2023-06-30,2023,2,2023-Q2,0.10537594147381157
2023-09-30,2023,3,2023-Q3,0.023411789536219807
2023-12-31,2023,4,2023-Q4,0.10658254533233547
2024-03-31,2024,1,2024-Q1,0.027402744415914393
2024-06-30,2024,2,2024-Q2,0.07541127518822566
2024-09-30,2024,3,2024-Q3,0.07497730169175276
2024-12-31,2024,4,2024-Q4,-0.08392013436209966
2025-03-31,2025,1,2025-Q1,-0.005305606306672095
2025-06-30,2025,2,2025-Q2,0.08493857185679032
2025-09-30,2025,3,2025-Q3,-0.0372966310760845
