year,obs_mm,norm_mm,anom_sum_mm,rain_anom_pct,alt_pct_from_file
2012,1061.5,868.5,-193.0,22.22222222222222,22.22222222222222
2013,1475.3999999999999,868.5,-606.9,69.87910189982726,69.87910189982729
2014,803.8,868.5,64.70000000000005,-7.449625791594709,-7.449625791594709
2015,814.9,868.5,53.60000000000001,-6.171560161197469,-6.171560161197468
2016,1347.8999999999999,868.5,-479.4,55.198618307426585,55.19861830742659
2017,845.9,868.5,22.599999999999994,-2.60218767990789,-2.6021876799078867
2018,801.5,868.5,67.0,-7.714450201496834,-7.714450201496834
2019,795.2,868.5,73.29999999999998,-8.439838802533098,-8.439838802533101
2020,958.5,868.5,-90.00000000000003,10.362694300518134,10.362694300518138
2021,875.0,868.5,-6.5,0.7484168105929765,0.7484168105929765
2022,925.0,868.5,-56.5,6.505469199769717,6.505469199769717
2023,817.2,868.5,51.30000000000004,-5.906735751295331,-5.906735751295342
2024,934.2,868.5,-65.69999999999999,7.564766839378244,7.564766839378237
2025,883.2,868.5,-14.699999999999989,1.6925734024179673,1.6925734024179608
