,cpi_yoy_lag1,gdp_yoy_lag1,repo_chg_bps_lag1,rain_anom_lag1,cpi_yoy_diff,gdp_yoy_diff,rain_anom_diff,excess_ret_lag1,excess_ret_ma4,q_sin,q_cos,target_next
cpi_yoy_lag1,1.0,0.25750331953713035,0.33199002720626525,-0.2090965296142613,-0.41764373763704254,0.14379023928953602,0.3365896121350026,0.18478473581164467,0.30217269347455467,-0.024701942329492143,0.03437636345743597,0.39489988204234366
gdp_yoy_lag1,0.25750331953713035,1.0,0.2975617274167514,0.1745612110670851,-0.3919612936477426,-0.5473828382707028,-0.06017636381923028,0.3021276861164438,0.450808350597353,-0.0201054997737577,0.024253572862118475,0.19679636136498896
repo_chg_bps_lag1,0.33199002720626525,0.2975617274167514,1.0,0.1368078006551225,-0.3143281520559367,-0.041402960390473545,-0.10654685654658151,0.08078313910631604,0.013423545345873486,0.015829557118866466,0.15589644279946754,0.019946894341840545
rain_anom_lag1,-0.2090965296142613,0.1745612110670851,0.1368078006551225,1.0,-0.1895416551052257,-0.041204943265744635,-0.3839175651166943,0.2052710871353749,0.17966177450047488,-0.01911990496177688,6.892103818890888e-18,0.2463432077786752
cpi_yoy_diff,-0.41764373763704254,-0.3919612936477426,-0.3143281520559367,-0.1895416551052257,1.0,0.16501103713369464,-0.1477147190019857,-0.04439534682431138,-0.17292576862988251,0.0467679596777702,-0.07070777332733652,-0.21096798406015915
gdp_yoy_diff,0.14379023928953602,-0.5473828382707028,-0.041402960390473545,-0.041204943265744635,0.16501103713369464,1.0,0.11001895482926397,0.06225851214029582,-0.013645613554127248,0.0036431984222191306,-0.04674047515208119,-0.11115630788751812
rain_anom_diff,0.3365896121350026,-0.06017636381923028,-0.10654685654658151,-0.3839175651166943,-0.1477147190019857,0.11001895482926397,1.0,0.03416211695090017,0.04986874813225276,-0.004121679828450572,-2.869394774092018e-18,-0.2726196665186457
excess_ret_lag1,0.18478473581164467,0.3021276861164438,0.08078313910631604,0.2052710871353749,-0.04439534682431138,0.06225851214029582,0.03416211695090017,1.0,0.5343236352218353,0.09197935394621636,0.16134748607583915,0.01309623784164529
excess_ret_ma4,0.30217269347455467,0.450808350597353,0.013423545345873486,0.17966177450047488,-0.17292576862988251,-0.013645613554127248,0.04986874813225276,0.5343236352218353,1.0,0.036532459215523845,0.017330358631519004,0.20998413217126813
q_sin,-0.024701942329492143,-0.0201054997737577,0.015829557118866466,-0.01911990496177688,0.0467679596777702,0.0036431984222191306,-0.004121679828450572,0.09197935394621636,0.036532459215523845,1.0,-6.464996920408965e-17,-0.0063489348014780685
q_cos,0.03437636345743597,0.024253572862118475,0.15589644279946754,6.892103818890888e-18,-0.07070777332733652,-0.04674047515208119,-2.869394774092018e-18,0.16134748607583915,0.017330358631519004,-6.464996920408965e-17,1.0,-0.17507325264606957
target_next,0.39489988204234366,0.19679636136498896,0.019946894341840545,0.2463432077786752,-0.21096798406015915,-0.11115630788751812,-0.2726196665186457,0.01309623784164529,0.20998413217126813,-0.0063489348014780685,-0.17507325264606957,1.0
