model,fold,start,end,rmse,mae,r2
elasticnet,1,2017-12-31,2019-12-31,0.07868541903020818,0.07149784189092098,-2.4852395737422888
elasticnet,2,2020-03-31,2022-03-31,0.050132704173817634,0.04075932949909414,-0.5300246716462684
elasticnet,3,2022-06-30,2024-06-30,0.05760858071872396,0.04615123788466372,-0.5353547582379157
gbr,1,2017-12-31,2019-12-31,0.11473840167531976,0.10671409637062752,-6.410742179119791
gbr,2,2020-03-31,2022-03-31,0.04689973421795179,0.04131386883023386,-0.33905043387380296
gbr,3,2022-06-30,2024-06-30,0.05111104345166546,0.041232910195585296,-0.20854793966415697
lasso,1,2017-12-31,2019-12-31,0.12151412713146048,0.10821711471716838,-7.31184921190412
lasso,2,2020-03-31,2022-03-31,0.04398491785217298,0.03604813931426722,-0.17777882459042593
lasso,3,2022-06-30,2024-06-30,0.053015815142598226,0.04553770044527522,-0.3003051247500148
ridge,1,2017-12-31,2019-12-31,0.16203055929449672,0.13629727660220037,-13.778759268255547
ridge,2,2020-03-31,2022-03-31,0.04285472950525197,0.03963497242930783,-0.11803059410160333
ridge,3,2022-06-30,2024-06-30,0.05311854347925255,0.043305257285779,-0.305349189392115
