quarter_end,year,quarter,quarter_label,excess_ret
2010-06-30,2010,2,2010-Q2,4.320474
2010-09-30,2010,3,2010-Q3,-0.795323
2010-12-31,2010,4,2010-Q4,-5.084365
2011-03-31,2011,1,2011-Q1,-4.322099
2011-06-30,2011,2,2011-Q2,2.340503
2011-09-30,2011,3,2011-Q3,1.460604
2011-12-31,2011,4,2011-Q4,-7.392566
2012-03-31,2012,1,2012-Q1,11.655580
2012-06-30,2012,2,2012-Q2,-4.348811
2012-09-30,2012,3,2012-Q3,-1.391522
2012-12-31,2012,4,2012-Q4,4.937506
2013-03-31,2013,1,2013-Q1,-9.205792
2013-06-30,2013,2,2013-Q2,-3.609305
2013-09-30,2013,3,2013-Q3,-2.861455
2013-12-31,2013,4,2013-Q4,5.422279
2014-03-31,2014,1,2014-Q1,0.356270
2014-06-30,2014,2,2014-Q2,15.316122
2014-09-30,2014,3,2014-Q3,-1.747418
2014-12-31,2014,4,2014-Q4,6.216425
2015-03-31,2015,1,2015-Q1,0.802069
2015-06-30,2015,2,2015-Q2,1.507313
2015-09-30,2015,3,2015-Q3,4.820723
2015-12-31,2015,4,2015-Q4,3.206634
2016-03-31,2016,1,2016-Q1,-2.190976
2016-06-30,2016,2,2016-Q2,1.243208
2016-09-30,2016,3,2016-Q3,7.654008
2016-12-31,2016,4,2016-Q4,-1.948446
2017-03-31,2017,1,2017-Q1,7.759588
2017-06-30,2017,2,2017-Q2,-0.687142
2017-09-30,2017,3,2017-Q3,-0.678571
2017-12-31,2017,4,2017-Q4,9.127139
2018-03-31,2018,1,2018-Q1,-7.285329
2018-06-30,2018,2,2018-Q2,-9.007734
2018-09-30,2018,3,2018-Q3,-7.665783
2018-12-31,2018,4,2018-Q4,4.825090
2019-03-31,2019,1,2019-Q1,-4.866346
2019-06-30,2019,2,2019-Q2,-4.729298
2019-09-30,2019,3,2019-Q3,-6.555294
2019-12-31,2019,4,2019-Q4,0.668989
2020-03-31,2020,1,2020-Q1,-2.223104
2020-06-30,2020,2,2020-Q2,5.811737
2020-09-30,2020,3,2020-Q3,6.322269
2020-12-31,2020,4,2020-Q4,-1.583988
2021-03-31,2021,1,2021-Q1,8.606564
2021-06-30,2021,2,2021-Q2,6.816850
2021-09-30,2021,3,2021-Q3,0.591324
2021-12-31,2021,4,2021-Q4,1.692874
2022-03-31,2022,1,2022-Q1,-3.103491
2022-06-30,2022,2,2022-Q2,-1.265262
2022-09-30,2022,3,2022-Q3,7.608652
2022-12-31,2022,4,2022-Q4,-3.172349
2023-03-31,2023,1,2023-Q1,-0.560000
2023-06-30,2023,2,2023-Q2,8.504095
2023-09-30,2023,3,2023-Q3,11.035375
2023-12-31,2023,4,2023-Q4,3.266291
2024-03-31,2024,1,2024-Q1,1.361138
2024-06-30,2024,2,2024-Q2,8.394453
2024-09-30,2024,3,2024-Q3,0.426823
2024-12-31,2024,4,2024-Q4,3.480686
2025-03-31,2025,1,2025-Q1,-9.132469
2025-06-30,2025,2,2025-Q2,7.121778
2025-09-30,2025,3,2025-Q3,-1.466165
