quarter_end,year,quarter,quarter_label,midcap_ret,largecap_ret,excess_ret,cpi_yoy,gdp_yoy,repo,repo_chg_bps,rain_anom,next_q_excess_ret,lag_excess_ret_1q,lag_excess_ret_2q,lag_cpi_yoy_1q,lag_gdp_yoy_1q,lag_repo_1q,lag_repo_chg_bps_1q,lag_rain_anom_1q,good_monsoon_flag,poor_monsoon_flag,normal_monsoon_flag,target_direction,allocation_signal_label
2014-06-30,2014,2,2014-Q2,28.847192,13.531070,15.316122,7.859486,7.112080,8.000000,0.000000,69.879102,-1.747418,0.356270,,8.244298,5.922736,8.000000,25.000000,69.879102,1,0,0,0,Large-cap outperformed or matched mid-cap next quarter
2014-09-30,2014,3,2014-Q3,2.896304,4.643723,-1.747418,6.681568,7.592544,8.000000,0.000000,-7.449626,6.216425,15.316122,0.356270,7.859486,7.112080,8.000000,0.000000,69.879102,0,1,0,1,Mid-cap outperformed large-cap next quarter
2014-12-31,2014,4,2014-Q4,10.207737,3.991312,6.216425,4.054538,8.033806,8.000000,0.000000,-7.449626,0.802069,-1.747418,15.316122,6.681568,7.592544,8.000000,0.000000,-7.449626,0,1,0,1,Mid-cap outperformed large-cap next quarter
2015-03-31,2015,1,2015-Q1,3.316950,2.514880,0.802069,5.272440,7.197433,7.500000,-50.000000,-7.449626,1.507313,6.216425,-1.747418,4.054538,8.033806,8.000000,0.000000,-7.449626,0,1,0,1,Mid-cap outperformed large-cap next quarter
2015-06-30,2015,2,2015-Q2,0.064609,-1.442704,1.507313,5.090809,9.088683,7.250000,-25.000000,-7.449626,4.820723,0.802069,6.216425,5.272440,7.197433,7.500000,-50.000000,-7.449626,0,1,0,1,Mid-cap outperformed large-cap next quarter
2015-09-30,2015,3,2015-Q3,-0.193318,-5.014041,4.820723,3.948304,8.679803,6.750000,-50.000000,-6.171560,3.206634,1.507313,0.802069,5.090809,9.088683,7.250000,-25.000000,-7.449626,0,1,0,1,Mid-cap outperformed large-cap next quarter
2015-12-31,2015,4,2015-Q4,3.174554,-0.032080,3.206634,5.339795,9.669809,6.750000,0.000000,-6.171560,-2.190976,4.820723,1.507313,3.948304,8.679803,6.750000,-50.000000,-6.171560,0,1,0,0,Large-cap outperformed or matched mid-cap next quarter
2016-03-31,2016,1,2016-Q1,-4.807900,-2.616925,-2.190976,5.259609,8.575494,6.750000,0.000000,-6.171560,1.243208,3.206634,4.820723,5.339795,9.669809,6.750000,0.000000,-6.171560,0,1,0,1,Mid-cap outperformed large-cap next quarter
2016-06-30,2016,2,2016-Q2,8.342220,7.099013,1.243208,5.665680,6.289328,6.500000,-25.000000,-6.171560,7.654008,-2.190976,3.206634,5.259609,8.575494,6.750000,0.000000,-6.171560,0,1,0,1,Mid-cap outperformed large-cap next quarter
2016-09-30,2016,3,2016-Q3,11.556152,3.902145,7.654008,5.167334,6.112753,6.500000,0.000000,55.198618,-1.948446,1.243208,-2.190976,5.665680,6.289328,6.500000,-25.000000,-6.171560,1,0,0,0,Large-cap outperformed or matched mid-cap next quarter
2016-12-31,2016,4,2016-Q4,-6.887972,-4.939526,-1.948446,3.748832,5.317940,6.250000,-25.000000,55.198618,7.759588,7.654008,1.243208,5.167334,6.112753,6.500000,0.000000,55.198618,1,0,0,1,Mid-cap outperformed large-cap next quarter
2017-03-31,2017,1,2017-Q1,19.828658,12.069071,7.759588,3.568915,6.668678,6.250000,0.000000,55.198618,-0.687142,-1.948446,7.654008,3.748832,5.317940,6.250000,-25.000000,55.198618,1,0,0,0,Large-cap outperformed or matched mid-cap next quarter
2017-06-30,2017,2,2017-Q2,3.097025,3.784167,-0.687142,2.207595,8.932909,6.250000,0.000000,55.198618,-0.678571,7.759588,-1.948446,3.568915,6.668678,6.250000,0.000000,55.198618,1,0,0,0,Large-cap outperformed or matched mid-cap next quarter
2017-09-30,2017,3,2017-Q3,2.133138,2.811709,-0.678571,2.976499,7.499661,6.000000,-25.000000,-2.602188,9.127139,-0.687142,7.759588,2.207595,8.932909,6.250000,0.000000,55.198618,0,0,1,1,Mid-cap outperformed large-cap next quarter
2017-12-31,2017,4,2017-Q4,16.708407,7.581268,9.127139,4.556546,6.457181,6.000000,0.000000,-2.602188,-7.285329,-0.678571,-0.687142,2.976499,7.499661,6.000000,-25.000000,-2.602188,0,0,1,0,Large-cap outperformed or matched mid-cap next quarter
2018-03-31,2018,1,2018-Q1,-11.245179,-3.959851,-7.285329,4.594783,6.233478,6.000000,0.000000,-2.602188,-9.007734,9.127139,-0.678571,4.556546,6.457181,6.000000,0.000000,-2.602188,0,0,1,0,Large-cap outperformed or matched mid-cap next quarter
2018-06-30,2018,2,2018-Q2,-3.069254,5.938479,-9.007734,4.790509,5.720943,6.250000,25.000000,-2.602188,-7.665783,-7.285329,9.127139,4.594783,6.233478,6.000000,0.000000,-2.602188,0,0,1,0,Large-cap outperformed or matched mid-cap next quarter
