quarter_end,year,quarter,quarter_label,gdp_yoy
2012-06-30,2012,2,2012-Q2,4.296010
2012-09-30,2012,3,2012-Q3,6.447099
2012-12-31,2012,4,2012-Q4,7.337749
2013-03-31,2013,1,2013-Q1,6.534983
2013-06-30,2013,2,2013-Q2,5.342980
2013-09-30,2013,3,2013-Q3,8.023963
2013-12-31,2013,4,2013-Q4,8.704109
2014-03-31,2014,1,2014-Q1,5.922736
2014-06-30,2014,2,2014-Q2,7.112080
2014-09-30,2014,3,2014-Q3,7.592544
2014-12-31,2014,4,2014-Q4,8.033806
2015-03-31,2015,1,2015-Q1,7.197433
2015-06-30,2015,2,2015-Q2,9.088683
2015-09-30,2015,3,2015-Q3,8.679803
2015-12-31,2015,4,2015-Q4,9.669809
2016-03-31,2016,1,2016-Q1,8.575494
2016-06-30,2016,2,2016-Q2,6.289328
2016-09-30,2016,3,2016-Q3,6.112753
2016-12-31,2016,4,2016-Q4,5.317940
2017-03-31,2017,1,2017-Q1,6.668678
2017-06-30,2017,2,2017-Q2,8.932909
2017-09-30,2017,3,2017-Q3,7.499661
2017-12-31,2017,4,2017-Q4,6.457181
2018-03-31,2018,1,2018-Q1,6.233478
2018-06-30,2018,2,2018-Q2,5.720943
2018-09-30,2018,3,2018-Q3,5.095368
2018-12-31,2018,4,2018-Q4,4.298371
2019-03-31,2019,1,2019-Q1,3.255643
2019-06-30,2019,2,2019-Q2,2.944913
2019-09-30,2019,3,2019-Q3,-23.134129
2019-12-31,2019,4,2019-Q4,-5.839218
2020-03-31,2020,1,2020-Q1,1.775082
2020-06-30,2020,2,2020-Q2,3.289793
2020-09-30,2020,3,2020-Q3,22.633773
2020-12-31,2020,4,2020-Q4,9.865858
2021-03-31,2021,1,2021-Q1,5.529075
2021-06-30,2021,2,2021-Q2,4.452846
2021-09-30,2021,3,2021-Q3,13.490759
2021-12-31,2021,4,2021-Q4,5.958238
2022-03-31,2022,1,2022-Q1,4.844051
2022-06-30,2022,2,2022-Q2,6.896954
2022-09-30,2022,3,2022-Q3,9.659944
2022-12-31,2022,4,2022-Q4,9.342884
2023-03-31,2023,1,2023-Q1,9.514555
2023-06-30,2023,2,2023-Q2,8.354641
2023-09-30,2023,3,2023-Q3,6.511800
2023-12-31,2023,4,2023-Q4,5.612025
2024-03-31,2024,1,2024-Q1,6.366486
2024-06-30,2024,2,2024-Q2,7.384530
