quarter_end,year,quarter,quarter_label,largecap_ret
2010-06-30,2010,2,2010-Q2,1.207826
2010-09-30,2010,3,2010-Q3,13.504941
2010-12-31,2010,4,2010-Q4,1.733845
2011-03-31,2011,1,2011-Q1,-4.902600
2011-06-30,2011,2,2011-Q2,-3.194343
2011-09-30,2011,3,2011-Q3,-12.468570
2011-12-31,2011,4,2011-Q4,-6.452233
2012-03-31,2012,1,2012-Q1,14.515710
2012-06-30,2012,2,2012-Q2,-0.314415
2012-09-30,2012,3,2012-Q3,8.039554
2012-12-31,2012,4,2012-Q4,3.538302
2013-03-31,2013,1,2013-Q1,-3.768776
2013-06-30,2013,2,2013-Q2,2.809478
2013-09-30,2013,3,2013-Q3,-1.829790
2013-12-31,2013,4,2013-Q4,9.915785
2014-03-31,2014,1,2014-Q1,6.348350
2014-06-30,2014,2,2014-Q2,13.531070
2014-09-30,2014,3,2014-Q3,4.643723
2014-12-31,2014,4,2014-Q4,3.991312
2015-03-31,2015,1,2015-Q1,2.514880
2015-06-30,2015,2,2015-Q2,-1.442704
2015-09-30,2015,3,2015-Q3,-5.014041
2015-12-31,2015,4,2015-Q4,-0.032080
2016-03-31,2016,1,2016-Q1,-2.616925
2016-06-30,2016,2,2016-Q2,7.099013
2016-09-30,2016,3,2016-Q3,3.902145
2016-12-31,2016,4,2016-Q4,-4.939526
2017-03-31,2017,1,2017-Q1,12.069071
2017-06-30,2017,2,2017-Q2,3.784167
2017-09-30,2017,3,2017-Q3,2.811709
2017-12-31,2017,4,2017-Q4,7.581268
2018-03-31,2018,1,2018-Q1,-3.959851
2018-06-30,2018,2,2018-Q2,5.938479
2018-09-30,2018,3,2018-Q3,2.017397
2018-12-31,2018,4,2018-Q4,-0.621200
2019-03-31,2019,1,2019-Q1,7.008944
2019-06-30,2019,2,2019-Q2,1.419059
2019-09-30,2019,3,2019-Q3,-2.666927
2019-12-31,2019,4,2019-Q4,6.048220
2020-03-31,2020,1,2020-Q1,-29.343918
2020-06-30,2020,2,2020-Q2,19.823210
2020-09-30,2020,3,2020-Q3,9.177255
2020-12-31,2020,4,2020-Q4,24.309294
2021-03-31,2021,1,2021-Q1,5.070538
2021-06-30,2021,2,2021-Q2,7.016684
2021-09-30,2021,3,2021-Q3,12.064052
2021-12-31,2021,4,2021-Q4,-1.499022
2022-03-31,2022,1,2022-Q1,0.637891
2022-06-30,2022,2,2022-Q2,-9.645142
2022-09-30,2022,3,2022-Q3,8.327498
2022-12-31,2022,4,2022-Q4,5.913942
2023-03-31,2023,1,2023-Q1,-4.117855
2023-06-30,2023,2,2023-Q2,10.537594
2023-09-30,2023,3,2023-Q3,2.341179
2023-12-31,2023,4,2023-Q4,10.658255
2024-03-31,2024,1,2024-Q1,2.740274
2024-06-30,2024,2,2024-Q2,7.541128
2024-09-30,2024,3,2024-Q3,7.497730
2024-12-31,2024,4,2024-Q4,-8.392013
2025-03-31,2025,1,2025-Q1,-0.530561
2025-06-30,2025,2,2025-Q2,8.493857
2025-09-30,2025,3,2025-Q3,-3.729663
