quarter_end,year,quarter,quarter_label,excess_ret,cpi_yoy,gdp_yoy,repo,repo_chg_bps
2010-03-31,2010,1,2010-Q1,,,,5.0,
2010-06-30,2010,2,2010-Q2,0.04320474069094926,,,5.25,25.0
2010-09-30,2010,3,2010-Q3,-0.007953228708813764,,,6.0,75.0
2010-12-31,2010,4,2010-Q4,-0.05084364905058936,,,6.25,25.0
2011-03-31,2011,1,2011-Q1,-0.043220985014282065,,,6.75,50.0
2011-06-30,2011,2,2011-Q2,0.023405034696494575,,,7.5,75.0
2011-09-30,2011,3,2011-Q3,0.014606037288109386,,,8.25,75.0
2011-12-31,2011,4,2011-Q4,-0.07392565578435628,,,8.5,25.0
2012-03-31,2012,1,2012-Q1,0.11655579712637332,,,8.5,0.0
2012-06-30,2012,2,2012-Q2,-0.04348810940089198,,4.296010495034919,8.0,-50.0
2012-09-30,2012,3,2012-Q3,-0.013915219203671558,,6.447098621444014,8.0,0.0
2012-12-31,2012,4,2012-Q4,0.04937506070977116,,7.337748688050527,8.0,0.0
2013-03-31,2013,1,2013-Q1,-0.09205792057599971,,6.534982634800657,7.5,-50.0
2013-06-30,2013,2,2013-Q2,-0.03609305203634172,,5.342979963611838,7.25,-25.0
2013-09-30,2013,3,2013-Q3,-0.028614552218143685,,8.023963162216186,7.5,25.0
2013-12-31,2013,4,2013-Q4,0.054222785882042324,,8.704108827720303,7.75,25.0
2014-03-31,2014,1,2014-Q1,0.003562698197869807,8.244297738053634,5.922736090663738,8.0,25.0
2014-06-30,2014,2,2014-Q2,0.15316122070778282,7.859486107068089,7.112079862047338,8.0,0.0
2014-09-30,2014,3,2014-Q3,-0.017474184879598065,6.681568327827914,7.592544422911884,8.0,0.0
2014-12-31,2014,4,2014-Q4,0.062164249315662445,4.054537529024286,8.033806086309792,8.0,0.0
2015-03-31,2015,1,2015-Q1,0.008020694866785583,5.2724402456772275,7.197432550362404,7.5,-50.0
2015-06-30,2015,2,2015-Q2,0.015073132117662813,5.0908092179592055,9.088682682427862,7.25,-25.0
2015-09-30,2015,3,2015-Q3,0.048207227110476425,3.9483042408415088,8.679802778791013,6.75,-50.0
2015-12-31,2015,4,2015-Q4,0.03206634186680313,5.339794541213791,9.66980880045285,6.75,0.0
2016-03-31,2016,1,2016-Q1,-0.021909757014811237,5.259608548379628,8.575493631707353,6.75,0.0
2016-06-30,2016,2,2016-Q2,0.012432076941487402,5.665679801665672,6.289327747747575,6.5,-25.0
2016-09-30,2016,3,2016-Q3,0.07654007536085472,5.1673343334687205,6.112753262232262,6.5,0.0
2016-12-31,2016,4,2016-Q4,-0.019484458404305016,3.748832287455439,5.31793955247053,6.25,-25.0
2017-03-31,2017,1,2017-Q1,0.0775958759826858,3.56891502972263,6.668678039312748,6.25,0.0
2017-06-30,2017,2,2017-Q2,-0.0068714198250172664,2.2075945422937484,8.932909226179575,6.25,0.0
2017-09-30,2017,3,2017-Q3,-0.006785711719909049,2.976498830584166,7.499660843627298,6.0,-25.0
2017-12-31,2017,4,2017-Q4,0.09127139075228574,4.556545747545604,6.457181008972346,6.0,0.0
2018-03-31,2018,1,2018-Q1,-0.07285328732246488,4.59478342971585,6.233477926090059,6.0,0.0
2018-06-30,2018,2,2018-Q2,-0.09007733633338089,4.790508503950093,5.720942884807356,6.25,25.0
2018-09-30,2018,3,2018-Q3,-0.07665783289137329,3.8546211140700226,5.0953681727949895,6.5,25.0
2018-12-31,2018,4,2018-Q4,0.04825090383463426,2.6063839211870685,4.298371152596903,6.5,0.0
2019-03-31,2019,1,2019-Q1,-0.04866346162318824,2.4651225915393336,3.2556431108379025,6.25,-25.0
2019-06-30,2019,2,2019-Q2,-0.04729298074470123,3.0717695592508805,2.944912954125134,5.75,-50.0
2019-09-30,2019,3,2019-Q3,-0.06555293534610918,3.47266683473492,-23.134128932174658,5.4,-34.999999999999964
2019-12-31,2019,4,2019-Q4,0.006689893583759821,5.837140861480482,-5.839217613893188,5.15,-25.0
2020-03-31,2020,1,2020-Q1,-0.022231042819114366,6.669901617923564,1.7750822246493714,4.4,-75.0
2020-06-30,2020,2,2020-Q2,0.05811736503654763,6.573177742776333,3.289792842390349,4.0,-40.000000000000036
2020-09-30,2020,3,2020-Q3,0.06322268816322252,6.895552248608908,22.633772856552792,4.0,0.0
2020-12-31,2020,4,2020-Q4,-0.01583988498817046,6.375940321197045,9.865857855249915,4.0,0.0
2021-03-31,2021,1,2021-Q1,0.08606563694698233,4.869867444579697,5.5290748881957175,4.0,0.0
2021-06-30,2021,2,2021-Q2,0.06816850140350983,5.593669058078173,4.45284560335153,4.0,0.0
2021-09-30,2021,3,2021-Q3,0.005913242457445733,5.078817347553977,13.490759400548935,4.0,0.0
2021-12-31,2021,4,2021-Q4,0.01692874342438644,5.016349752533163,5.95823759743439,4.0,0.0
2022-03-31,2022,1,2022-Q1,-0.03103490975446832,6.344005782303749,4.844051139061567,4.0,0.0
2022-06-30,2022,2,2022-Q2,-0.012652620227551648,7.281714750617444,6.896954042595782,4.9,90.00000000000003
2022-09-30,2022,3,2022-Q3,0.0760865232566379,7.0400221244468915,9.65994419429732,5.9,100.0
2022-12-31,2022,4,2022-Q4,-0.03172349215171488,6.120733549946393,9.34288446635254,6.25,34.999999999999964
2023-03-31,2023,1,2023-Q1,-0.005599999761450758,6.208194495065059,9.51455476473948,6.5,25.0
2023-06-30,2023,2,2023-Q2,0.08504095339769724,4.6265674932592775,8.354640517680622,6.5,0.0
2023-09-30,2023,3,2023-Q3,0.11035375227897193,6.428907125563477,6.51179994954767,6.5,0.0
2023-12-31,2023,4,2023-Q4,0.0326629103680669,5.37031126433154,5.612025126063402,6.5,0.0
2024-03-31,2024,1,2024-Q1,0.013611381324504013,5.014307005632383,6.366485630027352,6.5,0.0
2024-06-30,2024,2,2024-Q2,0.08394453309349648,4.904469177984187,7.384530368945819,6.5,0.0
2024-09-30,2024,3,2024-Q3,0.004268225059824715,4.244828638650573,15.613499080676728,6.5,0.0
2024-12-31,2024,4,2024-Q4,0.034806861385163756,5.6348903908089625,,6.5,0.0
2025-03-31,2025,1,2025-Q1,-0.09132469346019623,3.7339031719274183,,6.25,-25.0
2025-06-30,2025,2,2025-Q2,0.07121777898916659,2.991902370733146,,5.5,-75.0
2025-09-30,2025,3,2025-Q3,-0.014661648971855512,,,5.5,0.0
