year,obs_mm,norm_mm,anom_sum_mm,monsoon_months,rain_anom
2012,1061.500000,868.500000,-193.000000,4,22.222222
2013,1475.400000,868.500000,-606.900000,4,69.879102
2014,803.800000,868.500000,64.700000,4,-7.449626
2015,814.900000,868.500000,53.600000,4,-6.171560
2016,1347.900000,868.500000,-479.400000,4,55.198618
2017,845.900000,868.500000,22.600000,4,-2.602188
2018,801.500000,868.500000,67.000000,4,-7.714450
2019,795.200000,868.500000,73.300000,4,-8.439839
2020,958.500000,868.500000,-90.000000,4,10.362694
2021,875.000000,868.500000,-6.500000,4,0.748417
2022,925.000000,868.500000,-56.500000,4,6.505469
2023,817.200000,868.500000,51.300000,4,-5.906736
2024,934.200000,868.500000,-65.700000,4,7.564767
2025,883.200000,868.500000,-14.700000,4,1.692573
