quarter_end,year,quarter,quarter_label,cpi_yoy
2014-03-31,2014,1,2014-Q1,8.244297738053634
2014-06-30,2014,2,2014-Q2,7.859486107068089
2014-09-30,2014,3,2014-Q3,6.681568327827914
2014-12-31,2014,4,2014-Q4,4.054537529024286
2015-03-31,2015,1,2015-Q1,5.2724402456772275
2015-06-30,2015,2,2015-Q2,5.0908092179592055
2015-09-30,2015,3,2015-Q3,3.9483042408415088
2015-12-31,2015,4,2015-Q4,5.339794541213791
2016-03-31,2016,1,2016-Q1,5.259608548379628
2016-06-30,2016,2,2016-Q2,5.665679801665672
2016-09-30,2016,3,2016-Q3,5.1673343334687205
2016-12-31,2016,4,2016-Q4,3.748832287455439
2017-03-31,2017,1,2017-Q1,3.56891502972263
2017-06-30,2017,2,2017-Q2,2.2075945422937484
2017-09-30,2017,3,2017-Q3,2.976498830584166
2017-12-31,2017,4,2017-Q4,4.556545747545604
2018-03-31,2018,1,2018-Q1,4.59478342971585
2018-06-30,2018,2,2018-Q2,4.790508503950093
2018-09-30,2018,3,2018-Q3,3.8546211140700226
2018-12-31,2018,4,2018-Q4,2.6063839211870685
2019-03-31,2019,1,2019-Q1,2.4651225915393336
2019-06-30,2019,2,2019-Q2,3.0717695592508805
2019-09-30,2019,3,2019-Q3,3.47266683473492
2019-12-31,2019,4,2019-Q4,5.837140861480482
2020-03-31,2020,1,2020-Q1,6.669901617923564
2020-06-30,2020,2,2020-Q2,6.573177742776333
2020-09-30,2020,3,2020-Q3,6.895552248608908
2020-12-31,2020,4,2020-Q4,6.375940321197045
2021-03-31,2021,1,2021-Q1,4.869867444579697
2021-06-30,2021,2,2021-Q2,5.593669058078173
2021-09-30,2021,3,2021-Q3,5.078817347553977
2021-12-31,2021,4,2021-Q4,5.016349752533163
2022-03-31,2022,1,2022-Q1,6.344005782303749
2022-06-30,2022,2,2022-Q2,7.281714750617444
2022-09-30,2022,3,2022-Q3,7.0400221244468915
2022-12-31,2022,4,2022-Q4,6.120733549946393
2023-03-31,2023,1,2023-Q1,6.208194495065059
2023-06-30,2023,2,2023-Q2,4.6265674932592775
2023-09-30,2023,3,2023-Q3,6.428907125563477
2023-12-31,2023,4,2023-Q4,5.37031126433154
2024-03-31,2024,1,2024-Q1,5.014307005632383
2024-06-30,2024,2,2024-Q2,4.904469177984187
2024-09-30,2024,3,2024-Q3,4.244828638650573
2024-12-31,2024,4,2024-Q4,5.6348903908089625
2025-03-31,2025,1,2025-Q1,3.7339031719274183
2025-06-30,2025,2,2025-Q2,2.991902370733146
