date_q,ret_prev_q,cpi_yoy_cur,gdp_yoy_cur,repo_chg_bps_cur,rain_anom_cur,excess_next_q
2014-06-30,0.003563,7.859486,7.112080,0.000000,69.879102,-0.017474
2014-09-30,0.153161,6.681568,7.592544,0.000000,-7.449626,0.062164
2014-12-31,-0.017474,4.054538,8.033806,0.000000,-7.449626,0.008021
2015-03-31,0.062164,5.272440,7.197433,-50.000000,-7.449626,0.015073
2015-06-30,0.008021,5.090809,9.088683,-25.000000,-7.449626,0.048207
2015-09-30,0.015073,3.948304,8.679803,-50.000000,-6.171560,0.032066
2015-12-31,0.048207,5.339795,9.669809,0.000000,-6.171560,-0.021910
2016-03-31,0.032066,5.259609,8.575494,0.000000,-6.171560,0.012432
2016-06-30,-0.021910,5.665680,6.289328,-25.000000,-6.171560,0.076540
2016-09-30,0.012432,5.167334,6.112753,0.000000,55.198618,-0.019484
2016-12-31,0.076540,3.748832,5.317940,-25.000000,55.198618,0.077596
2017-03-31,-0.019484,3.568915,6.668678,0.000000,55.198618,-0.006871
2017-06-30,0.077596,2.207595,8.932909,0.000000,55.198618,-0.006786
2017-09-30,-0.006871,2.976499,7.499661,-25.000000,-2.602188,0.091271
2017-12-31,-0.006786,4.556546,6.457181,0.000000,-2.602188,-0.072853
2018-03-31,0.091271,4.594783,6.233478,0.000000,-2.602188,-0.090077
2018-06-30,-0.072853,4.790509,5.720943,25.000000,-2.602188,-0.076658
2018-09-30,-0.090077,3.854621,5.095368,25.000000,-7.714450,0.048251
2018-12-31,-0.076658,2.606384,4.298371,0.000000,-7.714450,-0.048663
2019-03-31,0.048251,2.465123,3.255643,-25.000000,-7.714450,-0.047293
2019-06-30,-0.048663,3.071770,2.944913,-50.000000,-7.714450,-0.065553
2019-09-30,-0.047293,3.472667,-23.134129,-35.000000,-8.439839,0.006690
2019-12-31,-0.065553,5.837141,-5.839218,-25.000000,-8.439839,-0.022231
2020-03-31,0.006690,6.669902,1.775082,-75.000000,-8.439839,0.058117
2020-06-30,-0.022231,6.573178,3.289793,-40.000000,-8.439839,0.063223
2020-09-30,0.058117,6.895552,22.633773,0.000000,10.362694,-0.015840
2020-12-31,0.063223,6.375940,9.865858,0.000000,10.362694,0.086066
2021-03-31,-0.015840,4.869867,5.529075,0.000000,10.362694,0.068169
2021-06-30,0.086066,5.593669,4.452846,0.000000,10.362694,0.005913
2021-09-30,0.068169,5.078817,13.490759,0.000000,0.748417,0.016929
2021-12-31,0.005913,5.016350,5.958238,0.000000,0.748417,-0.031035
2022-03-31,0.016929,6.344006,4.844051,0.000000,0.748417,-0.012653
2022-06-30,-0.031035,7.281715,6.896954,90.000000,0.748417,0.076087
2022-09-30,-0.012653,7.040022,9.659944,100.000000,6.505469,-0.031723
2022-12-31,0.076087,6.120734,9.342884,35.000000,6.505469,-0.005600
2023-03-31,-0.031723,6.208194,9.514555,25.000000,6.505469,0.085041
2023-06-30,-0.005600,4.626567,8.354641,0.000000,6.505469,0.110354
2023-09-30,0.085041,6.428907,6.511800,0.000000,-5.906736,0.032663
2023-12-31,0.110354,5.370311,5.612025,0.000000,-5.906736,0.013611
2024-03-31,0.032663,5.014307,6.366486,0.000000,-5.906736,0.083945
2024-06-30,0.013611,4.904469,7.384530,0.000000,-5.906736,0.004268
