quarter_end,year,quarter,quarter_label,midcap_qret
2010-06-30,2010,2,2010-Q2,0.055283001726174286
2010-09-30,2010,3,2010-Q3,0.1270961830558921
2010-12-31,2010,4,2010-Q4,-0.03350519682461728
2011-03-31,2011,1,2011-Q1,-0.09224698550331945
2011-06-30,2011,2,2011-Q2,-0.008538397915461737
2011-09-30,2011,3,2011-Q3,-0.1100796587844195
2011-12-31,2011,4,2011-Q4,-0.1384479842120101
2012-03-31,2012,1,2012-Q1,0.26171290198548713
2012-06-30,2012,2,2012-Q2,-0.046632258733822596
2012-09-30,2012,3,2012-Q3,0.06648031774531415
2012-12-31,2012,4,2012-Q4,0.0847580845731486
2013-03-31,2013,1,2013-Q1,-0.1297456820025632
2013-06-30,2013,2,2013-Q2,-0.007998270644185124
2013-09-30,2013,3,2013-Q3,-0.046912453693615186
2013-12-31,2013,4,2013-Q4,0.153380632899635
2014-03-31,2014,1,2014-Q1,0.06704620073594092
2014-06-30,2014,2,2014-Q2,0.28847192146253375
2014-09-30,2014,3,2014-Q3,0.028963043732934457
2014-12-31,2014,4,2014-Q4,0.10207736703362147
2015-03-31,2015,1,2015-Q1,0.033169499000703206
2015-06-30,2015,2,2015-Q2,0.0006460917219497375
2015-09-30,2015,3,2015-Q3,-0.0019331803699561556
2015-12-31,2015,4,2015-Q4,0.031745542762524614
2016-03-31,2016,1,2016-Q1,-0.048079004530966585
2016-06-30,2016,2,2016-Q2,0.08342220409955625
2016-09-30,2016,3,2016-Q3,0.11556152267767761
2016-12-31,2016,4,2016-Q4,-0.06887971919990132
2017-03-31,2017,1,2017-Q1,0.1982865842824244
2017-06-30,2017,2,2017-Q2,0.030970247977135656
2017-09-30,2017,3,2017-Q3,0.021331378051016037
2017-12-31,2017,4,2017-Q4,0.16708407080867782
2018-03-31,2018,1,2018-Q1,-0.11245179454420706
2018-06-30,2018,2,2018-Q2,-0.0306925414511916
2018-09-30,2018,3,2018-Q3,-0.05648385979000403
2018-12-31,2018,4,2018-Q4,0.04203889975428976
2019-03-31,2019,1,2019-Q1,0.021425974098626677
2019-06-30,2019,2,2019-Q2,-0.03310239066736054
2019-09-30,2019,3,2019-Q3,-0.09222220334086695
2019-12-31,2019,4,2019-Q4,0.0671720953450643
2020-03-31,2020,1,2020-Q1,-0.315670223651513
2020-06-30,2020,2,2020-Q2,0.2563494606429564
2020-09-30,2020,3,2020-Q3,0.15499523939064197
2020-12-31,2020,4,2020-Q4,0.22725305525214856
2021-03-31,2021,1,2021-Q1,0.13677102075086967
2021-06-30,2021,2,2021-Q2,0.13833534164937955
2021-09-30,2021,3,2021-Q3,0.12655376658046213
2021-12-31,2021,4,2021-Q4,0.001938520273828459
2022-03-31,2022,1,2022-Q1,-0.02465599532239049
2022-06-30,2022,2,2022-Q2,-0.1091040438093378
2022-09-30,2022,3,2022-Q3,0.1593615030573381
2022-12-31,2022,4,2022-Q4,0.0274159311080171
2023-03-31,2023,1,2023-Q1,-0.046778549688820004
2023-06-30,2023,2,2023-Q2,0.1904168948715088
2023-09-30,2023,3,2023-Q3,0.13376554181519174
2023-12-31,2023,4,2023-Q4,0.13924545570040237
2024-03-31,2024,1,2024-Q1,0.041014125740418406
2024-06-30,2024,2,2024-Q2,0.15935580828172213
2024-09-30,2024,3,2024-Q3,0.07924552675157748
2024-12-31,2024,4,2024-Q4,-0.04911327297693591
2025-03-31,2025,1,2025-Q1,-0.09663029976686832
2025-06-30,2025,2,2025-Q2,0.15615635084595691
2025-09-30,2025,3,2025-Q3,-0.05195828004794001
