year,month,rainfall_mm,good_rainfall_mm,anomaly_mm
2012,Jan,55.4,17.1,-38.3
2012,Feb,2.5,22.7,20.2
2012,Mar,1.2,29.9,28.7
2012,Apr,3.2,39.2,36.0
2012,May,3.7,61.4,57.699999999999996
2012,Jun,69.9,165.3,95.4
2012,Jul,432.7,280.4,-152.3
2012,Aug,386.5,254.9,-131.6
2012,Sep,172.4,167.9,-4.5
2012,Oct,6.8,75.4,68.60000000000001
2012,Nov,5.0,29.7,24.7
2012,Dec,1.5,15.9,14.4
2013,Jan,3.6,17.1,13.500000000000002
2013,Feb,51.9,22.7,-29.2
2013,Mar,19.6,29.9,10.299999999999997
2013,Apr,15.4,39.2,23.800000000000004
2013,May,0.0,61.4,61.4
2013,Jun,318.5,165.3,-153.2
2013,Jul,518.4,280.4,-238.0
2013,Aug,544.3,254.9,-289.4
2013,Sep,94.2,167.9,73.7
2013,Oct,124.1,75.4,-48.69999999999999
2013,Nov,1.4,29.7,28.3
2013,Dec,1.1,15.9,14.8
2014,Jan,34.0,17.1,-16.9
2014,Feb,64.6,22.7,-41.89999999999999
2014,Mar,20.2,29.9,9.7
2014,Apr,7.6,39.2,31.6
2014,May,4.3,61.4,57.1
2014,Jun,112.1,165.3,53.20000000000002
2014,Jul,320.9,280.4,-40.5
2014,Aug,232.2,254.9,22.700000000000017
2014,Sep,138.6,167.9,29.30000000000001
2014,Oct,62.1,75.4,13.300000000000004
2014,Nov,2.5,29.7,27.2
2014,Dec,12.5,15.9,3.4000000000000004
2015,Jan,39.5,17.1,-22.4
2015,Feb,14.3,22.7,8.399999999999999
2015,Mar,83.3,29.9,-53.4
2015,Apr,38.4,39.2,0.8000000000000043
2015,May,11.0,61.4,50.4
2015,Jun,170.1,165.3,-4.799999999999983
2015,Jul,296.9,280.4,-16.5
2015,Aug,276.8,254.9,-21.900000000000006
2015,Sep,71.1,167.9,96.80000000000001
2015,Oct,42.1,75.4,33.300000000000004
2015,Nov,1.6,29.7,28.099999999999998
2015,Dec,0.8,15.9,15.1
2016,Jan,21.4,17.1,-4.299999999999997
2016,Feb,2.1,22.7,20.599999999999998
2016,Mar,19.9,29.9,10.0
2016,Apr,0.1,39.2,39.1
2016,May,31.2,61.4,30.2
2016,Jun,120.9,165.3,44.400000000000006
2016,Jul,625.3,280.4,-344.9
2016,Aug,463.1,254.9,-208.20000000000002
2016,Sep,138.6,167.9,29.30000000000001
2016,Oct,31.9,75.4,43.50000000000001
2016,Nov,0.0,29.7,29.7
2016,Dec,0.0,15.9,15.9
2017,Jan,26.9,17.1,-9.799999999999997
2017,Feb,12.4,22.7,10.299999999999999
2017,Mar,29.0,29.9,0.8999999999999986
2017,Apr,44.3,39.2,-5.099999999999994
2017,May,56.1,61.4,5.299999999999997
2017,Jun,172.5,165.3,-7.199999999999989
2017,Jul,290.5,280.4,-10.100000000000023
2017,Aug,229.6,254.9,25.30000000000001
2017,Sep,153.3,167.9,14.599999999999994
2017,Oct,81.5,75.4,-6.099999999999994
2017,Nov,14.7,29.7,15.0
