year,month,rainfall_mm
2012,Jan,55.4
2012,Feb,2.5
2012,Mar,1.2
2012,Apr,3.2
2012,May,3.7
2012,Jun,69.9
2012,Jul,432.7
2012,Aug,386.5
2012,Sep,172.4
2012,Oct,6.8
2012,Nov,5.0
2012,Dec,1.5
2013,Jan,3.6
2013,Feb,51.9
2013,Mar,19.6
2013,Apr,15.4
2013,May,0.0
2013,Jun,318.5
2013,Jul,518.4
2013,Aug,544.3
2013,Sep,94.2
2013,Oct,124.1
2013,Nov,1.4
2013,Dec,1.1
2014,Jan,34.0
2014,Feb,64.6
2014,Mar,20.2
2014,Apr,7.6
2014,May,4.3
2014,Jun,112.1
2014,Jul,320.9
2014,Aug,232.2
2014,Sep,138.6
2014,Oct,62.1
2014,Nov,2.5
2014,Dec,12.5
2015,Jan,39.5
2015,Feb,14.3
2015,Mar,83.3
2015,Apr,38.4
2015,May,11.0
2015,Jun,170.1
2015,Jul,296.9
2015,Aug,276.8
2015,Sep,71.1
2015,Oct,42.1
2015,Nov,1.6
2015,Dec,0.8
2016,Jan,21.4
2016,Feb,2.1
2016,Mar,19.9
2016,Apr,0.1
2016,May,31.2
2016,Jun,120.9
2016,Jul,625.3
2016,Aug,463.1
2016,Sep,138.6
2016,Oct,31.9
2016,Nov,0.0
2016,Dec,0.0
2017,Jan,26.9
2017,Feb,12.4
2017,Mar,29.0
2017,Apr,44.3
2017,May,56.1
2017,Jun,172.5
2017,Jul,290.5
2017,Aug,229.6
2017,Sep,153.3
2017,Oct,81.5
2017,Nov,14.7
2017,Dec,16.2
2018,Jan,2.9
2018,Feb,12.6
2018,Mar,15.6
2018,Apr,38.4
2018,May,63.0
2018,Jun,155.3
2018,Jul,272.4
2018,Aug,241.4
2018,Sep,132.4
2018,Oct,35.6
2018,Nov,21.0
2018,Dec,14.7
2019,Jan,19.9
2019,Feb,9.4
2019,Mar,20.1
2019,Apr,30.5
2019,May,36.1
2019,Jun,114.6
2019,Jul,291.8
2019,Aug,236.4
2019,Sep,152.4
2019,Oct,79.7
2019,Nov,15.6
2019,Dec,17.7
2020,Jan,28.3
2020,Feb,12.1
2020,Mar,44.7
2020,Apr,42.7
2020,May,71.8
2020,Jun,195.6
2020,Jul,257.1
2020,Aug,327.8
2020,Sep,178.0
2020,Oct,78.3
2020,Nov,29.2
2020,Dec,17.0
2021,Jan,20.2
2021,Feb,7.6
2021,Mar,16.7
2021,Apr,31.0
2021,May,107.9
2021,Jun,182.9
2021,Jul,266.0
2021,Aug,196.2
2021,Sep,229.9
2021,Oct,100.7
2021,Nov,56.5
2021,Dec,20.4
2022,Jan,39.6
2022,Feb,19.1
2022,Mar,8.9
2022,Apr,38.4
2022,May,83.4
2022,Jun,152.3
2022,Jul,327.7
2022,Aug,263.7
2022,Sep,181.3
2022,Oct,110.8
2022,Nov,18.7
2022,Dec,13.6
2023,Jan,14.8
2023,Feb,7.2
2023,Mar,37.6
2023,Apr,41.4
2023,May,67.5
2023,Jun,148.6
2023,Jul,315.9
2023,Aug,162.7
2023,Sep,190.0
2023,Oct,50.8
2023,Nov,34.6
2023,Dec,25.5
2024,Jan,7.2
2024,Feb,19.7
2024,Mar,12.8
2024,Apr,31.4
2024,May,66.5
2024,Jun,147.2
2024,Jul,305.8
2024,Aug,293.9
2024,Sep,187.3
2024,Oct,75.7
2024,Nov,13.5
2024,Dec,27.6
2025,Jan,5.0
2025,Feb,15.9
2025,Mar,20.1
2025,Apr,38.7
2025,May,126.7
2025,Jun,180.0
2025,Jul,280.4
2025,Aug,254.9
2025,Sep,167.9
2025,Oct,75.4
2025,Nov,29.7
2025,Dec,15.9
