quarter_end,year,quarter,quarter_label,excess_ret
2010-06-30,2010,2,2010-Q2,0.04320474069094926
2010-09-30,2010,3,2010-Q3,-0.007953228708813764
2010-12-31,2010,4,2010-Q4,-0.05084364905058936
2011-03-31,2011,1,2011-Q1,-0.043220985014282065
2011-06-30,2011,2,2011-Q2,0.023405034696494575
2011-09-30,2011,3,2011-Q3,0.014606037288109386
2011-12-31,2011,4,2011-Q4,-0.07392565578435628
2012-03-31,2012,1,2012-Q1,0.11655579712637332
2012-06-30,2012,2,2012-Q2,-0.04348810940089198
2012-09-30,2012,3,2012-Q3,-0.013915219203671558
2012-12-31,2012,4,2012-Q4,0.04937506070977116
2013-03-31,2013,1,2013-Q1,-0.09205792057599971
2013-06-30,2013,2,2013-Q2,-0.03609305203634172
2013-09-30,2013,3,2013-Q3,-0.028614552218143685
2013-12-31,2013,4,2013-Q4,0.054222785882042324
2014-03-31,2014,1,2014-Q1,0.003562698197869807
2014-06-30,2014,2,2014-Q2,0.15316122070778282
2014-09-30,2014,3,2014-Q3,-0.017474184879598065
2014-12-31,2014,4,2014-Q4,0.062164249315662445
2015-03-31,2015,1,2015-Q1,0.008020694866785583
2015-06-30,2015,2,2015-Q2,0.015073132117662813
2015-09-30,2015,3,2015-Q3,0.048207227110476425
2015-12-31,2015,4,2015-Q4,0.03206634186680313
2016-03-31,2016,1,2016-Q1,-0.021909757014811237
2016-06-30,2016,2,2016-Q2,0.012432076941487402
2016-09-30,2016,3,2016-Q3,0.07654007536085472
2016-12-31,2016,4,2016-Q4,-0.019484458404305016
2017-03-31,2017,1,2017-Q1,0.0775958759826858
2017-06-30,2017,2,2017-Q2,-0.0068714198250172664
2017-09-30,2017,3,2017-Q3,-0.006785711719909049
2017-12-31,2017,4,2017-Q4,0.09127139075228574
2018-03-31,2018,1,2018-Q1,-0.07285328732246488
2018-06-30,2018,2,2018-Q2,-0.09007733633338089
2018-09-30,2018,3,2018-Q3,-0.07665783289137329
2018-12-31,2018,4,2018-Q4,0.04825090383463426
2019-03-31,2019,1,2019-Q1,-0.04866346162318824
2019-06-30,2019,2,2019-Q2,-0.04729298074470123
2019-09-30,2019,3,2019-Q3,-0.06555293534610918
2019-12-31,2019,4,2019-Q4,0.006689893583759821
2020-03-31,2020,1,2020-Q1,-0.022231042819114366
2020-06-30,2020,2,2020-Q2,0.05811736503654763
2020-09-30,2020,3,2020-Q3,0.06322268816322252
2020-12-31,2020,4,2020-Q4,-0.01583988498817046
2021-03-31,2021,1,2021-Q1,0.08606563694698233
2021-06-30,2021,2,2021-Q2,0.06816850140350983
2021-09-30,2021,3,2021-Q3,0.005913242457445733
2021-12-31,2021,4,2021-Q4,0.01692874342438644
2022-03-31,2022,1,2022-Q1,-0.03103490975446832
2022-06-30,2022,2,2022-Q2,-0.012652620227551648
2022-09-30,2022,3,2022-Q3,0.0760865232566379
2022-12-31,2022,4,2022-Q4,-0.03172349215171488
2023-03-31,2023,1,2023-Q1,-0.005599999761450758
2023-06-30,2023,2,2023-Q2,0.08504095339769724
2023-09-30,2023,3,2023-Q3,0.11035375227897193
2023-12-31,2023,4,2023-Q4,0.0326629103680669
2024-03-31,2024,1,2024-Q1,0.013611381324504013
2024-06-30,2024,2,2024-Q2,0.08394453309349648
2024-09-30,2024,3,2024-Q3,0.004268225059824715
2024-12-31,2024,4,2024-Q4,0.034806861385163756
2025-03-31,2025,1,2025-Q1,-0.09132469346019623
2025-06-30,2025,2,2025-Q2,0.07121777898916659
2025-09-30,2025,3,2025-Q3,-0.014661648971855512
